msg_id,user_id,user_nick_name,user_msg_count,user_points,user_level,topic,Company,message,Date,Time,msg_like_count,msg_reply_count,msg_repost_count,urlThread,urlTopic,NSE_current_price,NSE_price_change,NSE_price_change_percentage,BSE_current_price,BSE_price_change,BSE_price_change_percentage,Post,sentiment,sentiment_score
112020110,rbVEloe1Gh,lolwut,90,1,0,HUL,HUL,Bro with iceberg at 2550 why are you buying here when you can buy at 2450 Be ambitious Its not like HINDUNILVR is going to 3k in this decade atleast let it crash and burn a bit so that we can have a higher return when it goes back to 2700,2023-08-28,13:05:22,1,0,1,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110220110112020110html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2493.6787109375,-9.074357012348171,-0.3625750030458063,2511.98046875,-6.882003461855675,-0.27321870637155,Bro with iceberg at 2550 why are you buying here when you can buy at 2450 Be ambitious Its not like HINDUNILVR is going to 3k in this decade atleast let it crash and burn a bit so that we can have a higher return when it goes back to 2700,neutral,0.903
112044562,rEU4hM3nIt,Abbu29,2,0,0,HUL,HUL,Looks at a fair value at current levels,2023-08-29,21:34:50,0,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110244562112044562html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2464.845703125,-31.955228271468968,-1.2798468580190854,2483.665771484375,-29.395888776604806,-1.1697241353621248,Looks at a fair value at current levels,neutral,0.8689
112050460,devikavij,doctorkkv,438,402,0,HUL,HUL,i am adding this stock at current level to portfolio as a defensive bet,2023-08-30,10:55:01,1,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110250460112050460html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2470.505126953125,5.659294473743103,0.2296003425110946,2489.367919921875,4.964921429017977,0.1998436417936182,i am adding this stock at current level to portfolio as a defensive bet,neutral,0.9407
112055144,aksingh16,aksingh16,479,250,0,HUL,HUL,Since 1 month all group A share have heavy FII selling Mostly all stocks are corrected 1 to 6  Mid and small cap mostly gain 5 to 10 Wait now sunny days are coming in large cap Again 2700 target is coming in next month,2023-08-30,14:02:40,0,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110255144112055144html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2470.505126953125,5.659294473743103,0.2296003425110946,2489.367919921875,4.964921429017977,0.1998436417936182,Since 1 month all group A share have heavy FII selling Mostly all stocks are corrected 1 to 6  Mid and small cap mostly gain 5 to 10 Wait now sunny days are coming in large cap Again 2700 target is coming in next month,neutral,0.8946
112064820,rbVEloe1Gh,lolwut,90,1,0,HUL,HUL,hul should start selling sutta thats the only way we see this pump,2023-08-31,10:19:25,1,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110264820112064820html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2444.258056640625,-26.34477006164797,-1.06632963327467,2461.987548828125,-27.38063852738605,-1.0999031266834365,hul should start selling sutta thats the only way we see this pump,neutral,0.9202
112086926,aksingh16,aksingh16,479,250,0,HUL,HUL,Stock is corrected 250 from 52 week high 2765Now no downside risk This expiry minimum target 2600,2023-09-01,13:24:16,0,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110286926112086926html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2444.013916015625,-0.2439330354090998,-0.0099798405272097,2462.77392578125,-19.61366050566994,-0.7901127371897416,Stock is corrected 250 from 52 week high 2765Now no downside risk This expiry minimum target 2600,neutral,0.4243
112099096,ritavipulpatel,bestinkadi,490,227,0,HUL,HUL,resignation of top management is red flag,2023-09-02,21:00:17,0,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110299096112099096html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2444.013916015625,-0.2439330354090998,-0.0099798405272097,2462.77392578125,-19.61366050566994,-0.7901127371897416,resignation of top management is red flag,negative,0.9524
112099264,lathabroker,LathaBroker,5436,1542,0,HUL,HUL,Hul is a good buy at 2500 for long term keep buying from these levels,2023-09-02,21:51:35,0,0,2,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110299264112099264html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2444.013916015625,-0.2439330354090998,-0.0099798405272097,2462.77392578125,-19.61366050566994,-0.7901127371897416,Hul is a good buy at 2500 for long term keep buying from these levels,neutral,0.6551
112100054,6BPZej4yR4,clyadav,447,260,0,HUL,HUL,its your choice as per my previous 5 years experience and as chart analysis HUL may some more correction 24502410 very correct level to enter in this super blue chip company,2023-09-03,08:04:29,2,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110300054112100054html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2444.013916015625,-0.2439330354090998,-0.0099798405272097,2462.77392578125,-19.61366050566994,-0.7901127371897416,its your choice as per my previous 5 years experience and as chart analysis HUL may some more correction 24502410 very correct level to enter in this super blue chip company,neutral,0.7711
112104740,1efpXVJrRU,Deepesh Tiwari,9940,6612,0,HUL,HUL,hul intra day target is 2525 buy buy,2023-09-04,08:19:01,1,0,0,httpsmmbmoneycontrolcomforumtopicsstockshulthreadmessage110304740112104740html,httpsmmbmoneycontrolcomforumtopicsstockshul1147html,2440.69677734375,-12.29432275703357,-0.5011972019192587,2458.98876953125,-3.83440288629572,-0.1556913597873862,hul intra day target is 2525 buy buy,neutral,0.9335
